"","SampleID","Root","Mean_Relabun","SEM"
"1","ASV_1000_Unidentified Gammaproteobacteria","Disrupted",0.0241599703529412,0.00477744482357145
"2","ASV_1000_Unidentified Gammaproteobacteria","Intact",0.0236427783333333,0.00655547163213272
"3","ASV_1001_Desulfobulbus","Disrupted",0.0509067846470588,0.0228230191747213
"4","ASV_1001_Desulfobulbus","Intact",0.0112973313333333,0.00290936772095297
"5","ASV_1002_Unidentified Spirochaetia","Disrupted",0.0268798183529412,0.00569074088233027
"6","ASV_1002_Unidentified Spirochaetia","Intact",0.0438114078888889,0.0163153303536782
"7","ASV_1003_IMCC26207","Disrupted",0.0169803394117647,0.00634206363500384
"8","ASV_1003_IMCC26207","Intact",0.0391094942777778,0.00916890397148295
"9","ASV_1004_Desulfosarcina","Disrupted",0.0111047881764706,0.00469466388086137
"10","ASV_1004_Desulfosarcina","Intact",0.0731696471111111,0.0396573826655867
"11","ASV_1005_Unidentified Bacteria","Disrupted",0.0345034755294118,0.023162651773969
"12","ASV_1005_Unidentified Bacteria","Intact",0.0610628981666667,0.0566922682722627
"13","ASV_1006_Halodesulfovibrio","Disrupted",0.0200616122941176,0.00572869097491389
"14","ASV_1006_Halodesulfovibrio","Intact",0.0276783108333333,0.00727415299347484
"15","ASV_1008_Unidentified Xanthobacteraceae","Disrupted",0.0259604705294118,0.00737394958182314
"16","ASV_1008_Unidentified Xanthobacteraceae","Intact",0.0182095652777778,0.00482216966354542
"17","ASV_1009_WLWV01","Disrupted",0.0222091855294118,0.00808500674046503
"18","ASV_1009_WLWV01","Intact",0.0351373758888889,0.015149294107185
"19","ASV_100_Maritimibacter","Disrupted",0.328198957588235,0.0972765929337491
"20","ASV_100_Maritimibacter","Intact",0.237401632777778,0.0545521719092598
"21","ASV_1010_Neptuniibacter","Disrupted",0.00328753564705882,0.00328753564705882
"22","ASV_1010_Neptuniibacter","Intact",0.000325278166666667,0.000325278166666667
"23","ASV_1011_CAJBEZ01","Disrupted",0,0
"24","ASV_1011_CAJBEZ01","Intact",0.00971975655555555,0.00971975655555556
"25","ASV_1012_JAADFK01","Disrupted",0.0328966303529412,0.00812706130764999
"26","ASV_1012_JAADFK01","Intact",0.0315353332777778,0.0116388022711522
"27","ASV_1013_Unidentified Caldilineales","Disrupted",0.0285128306470588,0.00892286188250572
"28","ASV_1013_Unidentified Caldilineales","Intact",0.0425052345,0.0171365036694141
"29","ASV_1014_Unidentified Desulfocapsaceae","Disrupted",0.0222048220588235,0.00309238654417365
"30","ASV_1014_Unidentified Desulfocapsaceae","Intact",0.0290627448888889,0.00580538318217165
"31","ASV_1015_UBA1847","Disrupted",0.0321116672941177,0.0123354338106124
"32","ASV_1015_UBA1847","Intact",0.0100932986666667,0.00479667161357659
"33","ASV_1016_Unidentified Bacteria","Disrupted",0.00628064817647059,0.00431916103157258
"34","ASV_1016_Unidentified Bacteria","Intact",0.00623027127777778,0.00333426976858331
"35","ASV_1017_Unidentified UBA9160","Disrupted",0.0259879288823529,0.0044761765841637
"36","ASV_1017_Unidentified UBA9160","Intact",0.0253692115555556,0.006437459329099
"37","ASV_1018_Lacrimispora","Disrupted",0.0304571492352941,0.0109207826778284
"38","ASV_1018_Lacrimispora","Intact",0.0199599313888889,0.00468016165812903
"39","ASV_1019_SZUA-540","Disrupted",0.0189098154705882,0.00431032709445198
"40","ASV_1019_SZUA-540","Intact",0.0295923841666667,0.00977305095915221
"41","ASV_101_Lacinutrix","Disrupted",0.273148491058823,0.213917915595048
"42","ASV_101_Lacinutrix","Intact",0.173041934777778,0.0561618355669487
"43","ASV_1020_Arctic95D-9","Disrupted",0.0279164522352941,0.00456094475185577
"44","ASV_1020_Arctic95D-9","Intact",0.0325192798888889,0.00928590092184188
"45","ASV_1021_Unidentified Sedimenticolaceae","Disrupted",0.019685624,0.00286966583221904
"46","ASV_1021_Unidentified Sedimenticolaceae","Intact",0.0296383034444444,0.00812841700210996
"47","ASV_1022_Unidentified Gammaproteobacteria","Disrupted",0.0261211477058824,0.00475581485429
"48","ASV_1022_Unidentified Gammaproteobacteria","Intact",0.0310973705555556,0.00586988953710144
"49","ASV_1023_Desulfofustis","Disrupted",0.0270034552941176,0.00352873687539673
"50","ASV_1023_Desulfofustis","Intact",0.0208474873333333,0.00524424469304191
"51","ASV_1024_UBA1844","Disrupted",0,0
"52","ASV_1024_UBA1844","Intact",0.0120923162222222,0.0120923162222222
"53","ASV_1025_Ruminiclostridium","Disrupted",0.0208153307647059,0.00489528971023542
"54","ASV_1025_Ruminiclostridium","Intact",0.0209725583333333,0.00584569301415138
"55","ASV_1027_Alteraurantiacibacter","Disrupted",0.0188786856470588,0.00380884351739915
"56","ASV_1027_Alteraurantiacibacter","Intact",0.0282597748333333,0.00526222424113207
"57","ASV_1028_GCA-2748055","Disrupted",0.0362225156470588,0.00552779392447201
"58","ASV_1028_GCA-2748055","Intact",0.0221737845555556,0.0099956695406914
"59","ASV_102_Unidentified Gammaproteobacteria","Disrupted",0.275584001294118,0.0185090363863318
"60","ASV_102_Unidentified Gammaproteobacteria","Intact",0.191993611666667,0.0246285673189235
"61","ASV_1030_Desulfopila","Disrupted",0.033511002,0.00704216732096169
"62","ASV_1030_Desulfopila","Intact",0.0196747867222222,0.0034542398829195
"63","ASV_1031_Unidentified Firmicutes_A","Disrupted",0.0269727250588235,0.00258848110672479
"64","ASV_1031_Unidentified Firmicutes_A","Intact",0.0217166455,0.00415245744284765
"65","ASV_1032_Draconibacterium","Disrupted",0.028253989,0.00546704215707582
"66","ASV_1032_Draconibacterium","Intact",0.0303354652222222,0.00828047706834165
"67","ASV_1033_RFSX01","Disrupted",0.0420695605294118,0.011596922406099
"68","ASV_1033_RFSX01","Intact",0.0130047531111111,0.00460720945267395
"69","ASV_1034_Dokdonia","Disrupted",0.0219161308235294,0.00433354484366394
"70","ASV_1034_Dokdonia","Intact",0.0331327614444444,0.00973257578220871
"71","ASV_1036_UBA5623","Disrupted",0.027577257,0.00380550069224692
"72","ASV_1036_UBA5623","Intact",0.0253282260555556,0.00544564942339413
"73","ASV_1037_Unidentified Bacteria","Disrupted",0.0237921913529412,0.0064718646872721
"74","ASV_1037_Unidentified Bacteria","Intact",0.018831655,0.00654487856624846
"75","ASV_1039_Unidentified Peptostreptococcaceae","Disrupted",0.026335805,0.00479615751734515
"76","ASV_1039_Unidentified Peptostreptococcaceae","Intact",0.0249570122777778,0.00534655892489668
"77","ASV_1040_41T-STBD-0c-01a","Disrupted",0.026160734,0.0126216645883752
"78","ASV_1040_41T-STBD-0c-01a","Intact",0.0313064602777778,0.00865995809711352
"79","ASV_1041_Unidentified Bacteria","Disrupted",0.0260811051764706,0.00851379305449705
"80","ASV_1041_Unidentified Bacteria","Intact",0.010991771,0.00526575606175423
"81","ASV_1042_Desulforhopalus","Disrupted",0.0212688537058824,0.00313348193537056
"82","ASV_1042_Desulforhopalus","Intact",0.0195644847777778,0.00354998219508571
"83","ASV_1043_Unidentified Spirochaetia","Disrupted",0.0133475823529412,0.00596601476589753
"84","ASV_1043_Unidentified Spirochaetia","Intact",0.0283642453888889,0.00836327587183425
"85","ASV_1045_SZUA-582","Disrupted",0.0235991365294118,0.00429692449375056
"86","ASV_1045_SZUA-582","Intact",0.0174885838888889,0.00480811261205572
"87","ASV_1046_UBA2767","Disrupted",0.0252865286470588,0.00892937564042338
"88","ASV_1046_UBA2767","Intact",0.0282769824444444,0.0133641676383268
"89","ASV_1047_Unidentified Woeseiaceae","Disrupted",0.0341255085882353,0.0132606997768385
"90","ASV_1047_Unidentified Woeseiaceae","Intact",0.0202829871666667,0.00890190284628375
"91","ASV_1048_JAADHC01","Disrupted",0.0152437565294118,0.00841938456571977
"92","ASV_1048_JAADHC01","Intact",0.0380750435555555,0.0212444957269551
"93","ASV_1049_Shewanella","Disrupted",0.0201919447058824,0.0119106062246105
"94","ASV_1049_Shewanella","Intact",0.0267027691111111,0.0112876846195887
"95","ASV_104_Winogradskyella","Disrupted",0.114382913,0.0410381181396322
"96","ASV_104_Winogradskyella","Intact",0.0919310223333333,0.0265959134564407
"97","ASV_1050_Unidentified Bacteria","Disrupted",0,0
"98","ASV_1050_Unidentified Bacteria","Intact",0.0429949020555556,0.0429949020555556
"99","ASV_1051_Ga0077541","Disrupted",0.0308007752941176,0.0170615066436505
"100","ASV_1051_Ga0077541","Intact",0.00626903561111111,0.00387513502740626
"101","ASV_1052_Desulfosarcina","Disrupted",0.00168787370588235,0.00142753790055493
"102","ASV_1052_Desulfosarcina","Intact",0.00193364433333333,0.00134618788868373
